ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
192,0.004,0.000,0.046,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1766(traits)
12640,0.008,0.000,0.046,0.000,<__array_function__ internals>:177(sort)
62,0.001,0.000,0.046,0.001,/usr/lib/python3.10/site-packages/sage/categories/enumerated_sets.py:464(__len__)
3497,0.002,0.000,0.045,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3786(is_dominant)
61,0.001,0.000,0.045,0.001,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:622(<dictcomp>)
62,0.000,0.000,0.045,0.001,/usr/lib/python3.10/site-packages/sage/combinat/combinat.py:1799(__list_from_iterator)
62,0.000,0.000,0.045,0.001,/usr/lib/python3.10/site-packages/sage/combinat/combinat.py:1812(<listcomp>)
915,0.015,0.000,0.044,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:912(root_to_latex)
420,0.000,0.000,0.044,0.000,{bggcohomology.cohomology.sort_merge}
420,0.002,0.000,0.044,0.000,bggcohomology/cohomology.pyx:100(sort_merge)
3497,0.007,0.000,0.043,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3630(first_descent)
12,0.040,0.003,0.040,0.003,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:342(_quotient_basis_indices)
14020,0.039,0.000,0.039,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:124(<genexpr>)
48,0.000,0.000,0.038,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1396(set_description)
420,0.019,0.000,0.038,0.000,bggcohomology/cohomology.pyx:73(merge_sorted_image)
36,0.004,0.000,0.038,0.001,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:805(coadjoint_action_tensor)
8468,0.006,0.000,0.038,0.000,<__array_function__ internals>:177(concatenate)
16315,0.013,0.000,0.038,0.000,<__array_function__ internals>:177(copyto)
4478,0.006,0.000,0.037,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:2073(matrix_space)
7904,0.004,0.000,0.037,0.000,<__array_function__ internals>:177(atleast_1d)
7146,0.007,0.000,0.037,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/dynkin_diagram.py:778(column)
127,0.001,0.000,0.037,0.000,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:66(_publish_msg)
13001,0.036,0.000,0.036,0.000,{built-in method numpy.array}
33,0.000,0.000,0.035,0.001,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:55(__init__)
6231,0.031,0.000,0.035,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:819(_element_constructor_)
110,0.000,0.000,0.034,0.000,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1395(first_descent)
234,0.001,0.000,0.034,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:845(has_descent)
193,0.012,0.000,0.034,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:276(getmembers)
133,0.002,0.000,0.034,0.000,/usr/lib/python3.10/site-packages/jupyter_client/session.py:751(send)
24,0.000,0.000,0.034,0.001,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1535(reduced_word)
96,0.000,0.000,0.033,0.000,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:1503(reduced_word_reverse_iterator)
13338,0.018,0.000,0.033,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:87(get_matrix_class)
3038,0.006,0.000,0.033,0.000,{method 'transpose' of 'sage.matrix.matrix_rational_dense.Matrix_rational_dense' objects}
32/12,0.000,0.000,0.032,0.003,/usr/lib/python3.10/site-packages/sage/structure/unique_representation.py:992(__classcall__)
34/12,0.000,0.000,0.032,0.003,{sage.misc.classcall_metaclass.typecall}
12640,0.011,0.000,0.031,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:852(sort)
7904,0.021,0.000,0.029,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
3,0.000,0.000,0.028,0.009,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget_float.py:23(__init__)
1128,0.001,0.000,0.028,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3908(<listcomp>)
6480,0.024,0.000,0.027,0.000,{method 'monomial_coefficients' of 'sage.algebras.lie_algebras.lie_algebra_element.StructureCoefficientsElement' objects}
7146,0.013,0.000,0.027,0.000,/usr/lib/python3.10/site-packages/sage/graphs/digraph.py:1162(outgoing_edges)
1128,0.002,0.000,0.027,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3398(simple_reflection)
6959,0.026,0.000,0.026,0.000,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:118(<listcomp>)
108,0.000,0.000,0.025,0.000,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:337(_weight_to_alpha_sum)
9112,0.008,0.000,0.025,0.000,{built-in method builtins.repr}
1122,0.005,0.000,0.024,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:1473(<lambda>)
93,0.000,0.000,0.024,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:814(_send)
108,0.003,0.000,0.023,0.000,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:328(_weight_to_tuple)
1,0.000,0.000,0.023,0.023,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:546(display_cohomology_stats)
93,0.000,0.000,0.023,0.000,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:135(send)
6424,0.020,0.000,0.023,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/ambient_space.py:368(inner_product)
6959,0.021,0.000,0.021,0.000,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:120(<listcomp>)
1,0.000,0.000,0.020,0.020,/usr/lib/python3.10/site-packages/sage/algebras/lie_algebras/lie_algebra.py:353(__classcall_private__)
1,0.000,0.000,0.020,0.020,/usr/lib/python3.10/site-packages/sage/algebras/lie_algebras/classical_lie_algebra.py:1554(__classcall_private__)
1,0.001,0.001,0.020,0.020,/usr/lib/python3.10/site-packages/sage/algebras/lie_algebras/classical_lie_algebra.py:1574(__init__)
24,0.000,0.000,0.020,0.001,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:142(<dictcomp>)
3540,0.018,0.000,0.019,0.000,{method '_vector_' of 'sage.modules.with_basis.indexed_element.IndexedFreeModuleElement' objects}
33,0.000,0.000,0.019,0.001,/usr/lib/python3.10/site-packages/ipykernel/comm/comm.py:87(open)
1674,0.006,0.000,0.018,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:899(from_vector)
3,0.000,0.000,0.018,0.006,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget_box.py:62(__init__)
133,0.001,0.000,0.017,0.000,/usr/lib/python3.10/site-packages/jupyter_client/session.py:687(serialize)
9099,0.011,0.000,0.017,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_system.py:367(_repr_)
78,0.000,0.000,0.017,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1171(__new__)
78,0.000,0.000,0.017,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1215(setup_instance)
78,0.005,0.000,0.016,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1186(setup_instance)
97965,0.016,0.000,0.016,0.000,{built-in method builtins.isinstance}
216,0.000,0.000,0.016,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:729(parabolic_u_basis)
25,0.000,0.000,0.016,0.001,/usr/lib/python3.10/site-packages/sage/sets/family.py:52(Family)
271,0.015,0.000,0.015,0.000,{built-in method builtins.dir}
1,0.015,0.015,0.015,0.015,/usr/lib/python3.10/site-packages/sage/groups/libgap_mixin.py:181(is_finite)
1340/1307,0.009,0.000,0.014,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1388(_notify_observers)
108,0.012,0.000,0.014,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:314(get_action_tensor)
33,0.000,0.000,0.014,0.000,/usr/lib/python3.10/site-packages/traitlets/config/configurable.py:50(__init__)
12,0.002,0.000,0.014,0.001,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:1044(cohomology)
9/6,0.000,0.000,0.014,0.002,/usr/lib/python3.10/site-packages/IPython/core/display_functions.py:105(display)
7146,0.005,0.000,0.014,0.000,/usr/lib/python3.10/site-packages/sage/graphs/digraph.py:1134(outgoing_edge_iterator)
216,0.005,0.000,0.013,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:751(<listcomp>)
17,0.000,0.000,0.013,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:255(__iter__)
17,0.000,0.000,0.013,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1174(__iter__)
11,0.000,0.000,0.013,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:268(update)
11,0.000,0.000,0.013,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1212(update)
62,0.001,0.000,0.013,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:60(WeylGroup)
221,0.000,0.000,0.013,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1129(__call__)
532,0.001,0.000,0.012,0.000,/usr/lib/python3.10/site-packages/jupyter_client/session.py:97(json_packer)
1,0.002,0.002,0.011,0.011,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:177(_construct_BGG_graph)
6,0.000,0.000,0.011,0.002,/usr/lib/python3.10/site-packages/sage/repl/display/formatter.py:113(format)
532,0.001,0.000,0.011,0.000,/usr/lib/python3.10/json/__init__.py:183(dumps)
286,0.010,0.000,0.011,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:678(__init__)
193,0.008,0.000,0.010,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:689(__hash__)
16/2,0.000,0.000,0.010,0.005,<frozen importlib._bootstrap>:1022(_find_and_load)
33,0.000,0.000,0.010,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:461(_default_keys)
16/2,0.000,0.000,0.010,0.005,<frozen importlib._bootstrap>:987(_find_and_load_unlocked)
10,0.000,0.000,0.010,0.001,/usr/lib/python3.10/site-packages/sage/categories/coxeter_groups.py:372(_element_constructor_)
33,0.000,0.000,0.010,0.000,/usr/lib/python3.10/site-packages/traitlets/config/configurable.py:156(_load_config)
39,0.000,0.000,0.010,0.000,/usr/lib/python3.10/site-packages/decorator.py:229(fun)
16,0.000,0.000,0.010,0.001,/usr/lib/python3.10/site-packages/sage/sets/family.py:404(<dictcomp>)
62,0.001,0.000,0.010,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:1182(negative_roots)
16/3,0.000,0.000,0.010,0.003,<frozen importlib._bootstrap>:664(_load_unlocked)
12640,0.010,0.000,0.010,0.000,{method 'copy' of 'numpy.ndarray' objects}
15/3,0.000,0.000,0.009,0.003,<frozen importlib._bootstrap_external>:877(exec_module)
19/3,0.000,0.000,0.009,0.003,<frozen importlib._bootstrap>:233(_call_with_frames_removed)
6480,0.005,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/sage/algebras/lie_algebras/structure_coefficients.py:283(dimension)
133,0.000,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/ipykernel/iostream.py:283(send_multipart)
5184,0.004,0.000,0.009,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:786(<dictcomp>)
39,0.000,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/IPython/core/formatters.py:218(catch_format_error)
12640,0.009,0.000,0.009,0.000,{method 'sort' of 'numpy.ndarray' objects}
9875,0.009,0.000,0.009,0.000,{built-in method numpy.zeros}
158,0.001,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/ipykernel/iostream.py:202(schedule)
6,0.000,0.000,0.009,0.001,/usr/lib/python3.10/site-packages/IPython/core/display_functions.py:45(publish_display_data)
532,0.001,0.000,0.009,0.000,/usr/lib/python3.10/json/encoder.py:182(encode)
6,0.000,0.000,0.009,0.001,/usr/lib/python3.10/site-packages/ipykernel/zmqshell.py:80(publish)
62,0.001,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/sage/categories/enumerated_sets.py:871(map)
133,0.000,0.000,0.009,0.000,/usr/lib/python3.10/site-packages/ipykernel/iostream.py:214(send_multipart)
22848,0.008,0.000,0.008,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
8000,0.003,0.000,0.008,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
86642,0.008,0.000,0.008,0.000,{method 'append' of 'list' objects}
9,0.000,0.000,0.008,0.001,/usr/lib/python3.10/site-packages/IPython/core/formatters.py:906(__call__)
15523,0.008,0.000,0.008,0.000,{built-in method numpy.empty}
48,0.001,0.000,0.008,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:173(construct_component)
3,0.000,0.000,0.008,0.003,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:789(_ipython_display_)
62,0.000,0.000,0.008,0.000,/usr/lib/python3.10/site-packages/sage/combinat/combinat.py:2470(__init__)
1,0.000,0.000,0.008,0.008,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:340(reflections)
10368,0.005,0.000,0.008,0.000,/usr/lib/python3.10/site-packages/sage/sets/family.py:746(__getitem__)
56260/56173,0.008,0.000,0.008,0.000,{built-in method builtins.len}
