ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1828616,0.588,0.000,0.990,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
210,0.093,0.000,0.963,0.005,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:754(adjoint_action_tensor)
6832873/6832720,0.927,0.000,0.960,0.000,{built-in method builtins.len}
180,0.938,0.005,0.938,0.005,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:244(<listcomp>)
10921/7313,0.015,0.000,0.934,0.000,/usr/lib/python3.10/site-packages/sage/categories/magmatic_algebras.py:201(_product_from_product_on_basis_multiply)
45604,0.526,0.000,0.929,0.000,{method 'bracket' of 'sage.algebras.lie_algebras.lie_algebra_element.StructureCoefficientsElement' objects}
19072630,0.923,0.000,0.923,0.000,stringsource:979(convert_item_to_object)
9001,0.016,0.000,0.900,0.000,/usr/lib/python3.10/site-packages/sage/monoids/indexed_free_monoid.py:979(gen)
23834/15080,0.024,0.000,0.878,0.000,/usr/lib/python3.10/site-packages/sage/categories/magmatic_algebras.py:215(<genexpr>)
20,0.049,0.002,0.862,0.043,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:73(_compute_initial_maps)
12913/7767,0.075,0.000,0.861,0.000,/home/rik/git/bgg-cohomology/bggcohomology/pbw.py:367(product_on_basis)
292,0.004,0.000,0.839,0.003,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:263(_solve_problem)
151,0.027,0.000,0.762,0.005,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:597(__init__)
183565,0.056,0.000,0.754,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:79(_repr_)
326576,0.402,0.000,0.717,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:87(get_matrix_class)
183565,0.067,0.000,0.697,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:95(_name_string)
1870,0.128,0.000,0.665,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:996(_get_action_)
9923/9903,0.020,0.000,0.663,0.000,/usr/lib/python3.10/site-packages/sage/structure/unique_representation.py:992(__classcall__)
9925/9903,0.057,0.000,0.641,0.000,{sage.misc.classcall_metaclass.typecall}
412560,0.640,0.000,0.640,0.000,{built-in method numpy.arange}
183565,0.252,0.000,0.630,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:235(_name_string_helper)
4810,0.016,0.000,0.606,0.000,/usr/lib/python3.10/site-packages/sage/modules/with_basis/morphism.py:380(__call__)
96206,0.104,0.000,0.593,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:2073(matrix_space)
64330,0.103,0.000,0.529,0.000,{method 'transpose' of 'sage.matrix.matrix_rational_dense.Matrix_rational_dense' objects}
9630,0.005,0.000,0.524,0.000,/usr/lib/python3.10/site-packages/sage/modules/with_basis/morphism.py:405(<genexpr>)
4800,0.005,0.000,0.519,0.000,/home/rik/git/bgg-cohomology/bggcohomology/pbw.py:302(basis_function)
262,0.001,0.000,0.495,0.002,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:271(<listcomp>)
1,0.001,0.001,0.491,0.491,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:90(__init__)
7620,0.008,0.000,0.483,0.000,/usr/lib/python3.10/site-packages/sage/misc/call.py:34(__call__)
4580,0.005,0.000,0.474,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3883(pred)
3489057,0.473,0.000,0.473,0.000,/usr/lib/python3.10/site-packages/numpy/core/multiarray.py:1071(copyto)
8480,0.213,0.000,0.471,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:579(__init__)
