ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
182,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/numpy/core/multiarray.py:416(lexsort)
1621,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:1856(is_sparse)
872,0.000,0.000,0.000,0.000,{built-in method builtins.hash}
1201,0.000,0.000,0.000,0.000,{sage.structure.element.is_Matrix}
182,0.000,0.000,0.000,0.000,{method 'transpose' of 'numpy.ndarray' objects}
666,0.000,0.000,0.000,0.000,{method 'parent' of 'sage.structure.element.Element' objects}
412,0.000,0.000,0.000,0.000,{sage.rings.integer_ring.is_IntegerRing}
294,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:848(_sort_dispatcher)
182,0.000,0.000,0.000,0.000,{built-in method numpy.core._multiarray_umath.normalize_axis_index}
230,0.000,0.000,0.000,0.000,{built-in method builtins.len}
362,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2670(_amax_dispatcher)
544,0.000,0.000,0.000,0.000,stringsource:992(__get__)
182,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:597(_transpose_dispatcher)
1,0.000,0.000,0.000,0.000,{method 'subdivide' of 'sage.matrix.matrix2.Matrix' objects}
140,0.000,0.000,0.000,0.000,{method 'base_ring' of 'sage.matrix.matrix0.Matrix' objects}
1,0.000,0.000,0.000,0.000,{built-in method builtins.all}
70,0.000,0.000,0.000,0.000,{method 'is_sparse' of 'sage.matrix.matrix0.Matrix' objects}
140,0.000,0.000,0.000,0.000,{method 'ncols' of 'sage.matrix.matrix0.Matrix' objects}
21,0.000,0.000,0.000,0.000,/usr/lib/python3.10/site-packages/sage/matrix/special.py:1994(<genexpr>)
140,0.000,0.000,0.000,0.000,{method 'nrows' of 'sage.matrix.matrix0.Matrix' objects}
1,0.000,0.000,0.000,0.000,{sage.rings.ring.is_Ring}
2,0.000,0.000,0.000,0.000,{sage.misc.misc_c.running_total}
5,0.000,0.000,0.000,0.000,{method 'get' of 'dict' objects}
1,0.000,0.000,0.000,0.000,{method 'disable' of '_lsprof.Profiler' objects}


